 0 1 2
 1.6 -nan(ind) -nan(ind)
 1.61 -nan(ind) -nan(ind)
 1.62 -nan(ind) -nan(ind)
 1.63 -nan(ind) -nan(ind)
 1.64 -nan(ind) -nan(ind)
 1.65 -nan(ind) -nan(ind)
 1.66 -nan(ind) -nan(ind)
 1.67 -nan(ind) -nan(ind)
 1.68 -nan(ind) -nan(ind)
 1.69 -nan(ind) -nan(ind)
 1.7 -nan(ind) -nan(ind)
 1.71 -nan(ind) -nan(ind)
 1.72 -nan(ind) -nan(ind)
 1.73 -nan(ind) -nan(ind)
 1.74 -nan(ind) -nan(ind)
 1.75 -nan(ind) -nan(ind)
 1.76 -nan(ind) -nan(ind)
 1.77 -nan(ind) -nan(ind)
 1.78 -nan(ind) -nan(ind)
 1.79 -nan(ind) -nan(ind)
 1.8 -nan(ind) -nan(ind)
 1.81 -nan(ind) -nan(ind)
 1.82 -nan(ind) -nan(ind)
 1.83 -nan(ind) -nan(ind)
 1.84 -nan(ind) -nan(ind)
 1.85 -nan(ind) -nan(ind)
 1.86 -nan(ind) -nan(ind)
 1.87 -nan(ind) -nan(ind)
 1.88 -nan(ind) -nan(ind)
 1.89 -nan(ind) -nan(ind)
 1.9 -nan(ind) -nan(ind)
 1.91 -nan(ind) -nan(ind)
 1.92 -nan(ind) -nan(ind)
 1.93 -nan(ind) -nan(ind)
 1.94 -nan(ind) -nan(ind)
 1.95 -nan(ind) -nan(ind)
 1.96 -nan(ind) -nan(ind)
 1.97 -nan(ind) -nan(ind)
 1.98 -nan(ind) -nan(ind)
 1.99 -nan(ind) -nan(ind)
 2 -nan(ind) -nan(ind)
